,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
409,409,ana_2212_25_5_4.root,2212,25,5,2,4,193,220.95628546765488,0.5193416738458432,193,-1.558574002,0.5224156280764294,117,10.515412471722366,1.393092999822142,193,-1.558574002,0.5224156285272882,2328,221.27903780068726,220.9592966792006,2.0447709321449365,2328,-1.23722795,-1.556669701,2.044697313716583,187,10.681818181818183,10.46530330407906,1.4314537724081735,2296,-1.366260163,-1.557479682,2.0462259706354238
485,485,ana_2212_25_5_5.root,2212,25,5,2,5,196,220.9175871145328,0.5073664693099852,196,-1.597461914,0.4817254184804716,139,10.39806451,0.86087054,196,-1.597461914,0.4817254185269154,2340,221.1795726495727,220.7499221173458,1.9204710568426067,2340,-1.338974359,-1.763813164,1.935557309939992,243,10.44897119341564,10.50169262329563,1.0527784909552786,2315,-1.434787617,-1.76426652,1.936685747
14,14,ana_2212_25_5_6.root,2212,25,5,2,6,193,220.99594858647677,0.5203768687227155,193,-1.525368606,0.5197845819670971,131,10.441819985377201,1.1261794652382306,192,-1.525368672,0.5197844282415763,2522,221.29064234734344,220.85791022472114,1.860402903720106,2522,-1.228865979,-1.662283925,1.8487901086143403,222,10.938738738738738,10.459752399122493,1.3575571943116798,2489,-1.343431097,-1.662468184,1.8491189060256354
66,66,ana_2212_25_5_7.root,2212,25,5,2,7,197,221.01808775511563,0.4816459416283776,197,-1.489878021,0.4817637540753877,132,10.69503518188461,1.337145088,195,-1.48987768,0.48176289933492095,2301,221.32155584528465,220.8417107564158,2.0613940178074253,2301,-1.198058815,-1.693268153,1.9627209662360565,238,11.052100840336132,10.647337323950495,1.9022849579173076,2270,-1.319647577,-1.693816753,1.9639994846567994
204,204,ana_2212_25_10_0.root,2212,25,10,2.5,0,199,221.04710357494585,0.5265450502286353,199,-1.470364311,0.5172165647198371,109,10.89989730045939,1.0735122483322197,199,-1.470364311,0.5172165647198371,2380,221.05403361344543,220.84553046856698,1.8032353983455485,2380,-1.462016807,-1.658704093,1.898794332412989,217,11.504608294930875,10.932181841828783,1.2481759993189698,2358,-1.448741872,-1.658503862,1.8983345293586962
567,567,ana_2212_25_10_1.root,2212,25,10,2.5,1,197,220.94204129097807,0.45915974700760237,197,-1.597292385,0.4505098335323482,144,10.474325471012419,1.2039544967903166,197,-1.597292385,0.45050983305915254,2220,221.01288288288288,220.74604584543837,1.7368066334790393,2220,-1.504204204,-1.759637913,1.8154114281934028,273,10.782783882783882,10.42552261336059,1.2694757890114954,2209,-1.551199638,-1.759784109,1.8158052410658863
483,483,ana_2212_25_10_2.root,2212,25,10,2.5,2,196,220.9233593191105,0.46589067152619396,196,-1.590951156,0.45841862710255316,142,10.699462969026856,0.9099060131215919,195,-1.590952981,0.45842325781767074,1651,220.9083585705633,220.69014514521496,1.5456866364280089,1651,-1.609731476,-1.829305844,1.5460886471812239,264,10.724242424242425,10.730294501417436,1.2874185582841777,1647,-1.63339405,-1.82931666,1.5461120509527646
412,412,ana_2212_25_10_3.root,2212,25,10,2.5,3,199,220.97934797751063,0.545435253,199,-1.535025066,0.5634215886485903,127,10.857718324796046,0.7102260600649791,199,-1.535025067,0.5634215890246099,2055,221.0283698296837,220.7787846910718,1.8400946485364578,2055,-1.491289538,-1.745844288,1.7926060259201642,218,10.889908256880734,10.870251810492938,0.8979923267283991,2048,-1.523177083,-1.745960232,1.792913115874933
434,434,ana_2212_25_10_4.root,2212,25,10,2.5,4,195,221.13729507793974,0.45318116404376907,195,-1.398734734,0.4413672800409297,98,10.718216150436778,1.0595272265825504,194,-1.398735426,0.44137228342106927,2277,221.13917435221785,220.8939988456487,1.657505988098811,2277,-1.379329527,-1.614122458,1.7723238259210414,147,10.657823129251701,10.68112923293706,1.3470278785134961,2273,-1.396597742,-1.614195245,1.7724900755057449
55,55,ana_2212_25_10_5.root,2212,25,10,2.5,5,196,220.9545600117215,0.6061711964186927,196,-1.567070946,0.6121246201669992,138,10.422502627104942,1.0083753357586125,196,-1.567070946,0.6121246201669992,2158,220.97859128822984,220.77321473470025,1.691239231654997,2158,-1.538523324,-1.729582112,1.7836743401850923,230,10.663478260869567,10.439206963367079,1.2634205079711935,2155,-1.551894818,-1.729675876,1.783944284670214
5,5,ana_2212_25_10_6.root,2212,25,10,2.5,6,196,221.02653856456018,0.6021808034144386,196,-1.500594192,0.6038836446648477,126,10.797389695532098,1.0998940515760807,195,-1.500594077,0.6038820051430186,1597,221.07345021916092,220.80771323443463,1.7499598376499175,1597,-1.444333125,-1.703022357,1.7648121444412201,212,10.827358490566038,11.029626443104219,1.1053679190983603,1590,-1.474968553,-1.703104105,1.7650240203252412
424,424,ana_2212_25_10_7.root,2212,25,10,2.5,7,199,220.94584313312328,0.5626041838497221,199,-1.564068893,0.5469865417760559,120,10.746127914134236,0.8902236379004257,199,-1.564068893,0.5469865417760559,2119,220.96965549787637,220.77177242450995,1.7952719807701414,2119,-1.548686487,-1.745155984,1.8010607454648333,200,10.606,10.908833142013117,0.9127965888534588,2113,-1.5538413,-1.745217214,1.8011924581264867
239,239,ana_2212_25_15_0.root,2212,25,15,3,0,198,220.889822,0.6008634972382214,198,-1.638533046,0.5811117510083896,84,10.602294742885862,1.2877581984249453,198,-1.638533046,0.5811117510083896,1881,220.99920255183414,220.73614191030842,1.7011841548665492,1881,-1.518164097,-1.775274435,1.703867041453837,127,10.975590551181103,10.665888353126006,1.4846199449889885,1868,-1.534689507,-1.775247929,1.7037496982320148
238,238,ana_2212_25_15_1.root,2212,25,15,3,1,198,220.99623739421293,0.5622742944562492,198,-1.518352865,0.5755456424536775,81,10.53730510865035,0.8900908019280167,198,-1.518352865,0.5755456424536775,2003,221.06095856215674,220.81049954792135,1.830167482874947,2003,-1.456781494,-1.723444665,1.7439519611488725,122,10.621311475409838,10.466832794641615,1.0347275241492584,1995,-1.47946533,-1.723455811,1.7440100267562852
1,1,ana_2212_25_15_2.root,2212,25,15,3,2,197,221.08754345751194,0.516452233,197,-1.427650075,0.5127603785127034,95,10.43946317862322,1.1284129592175811,197,-1.427650075,0.5127603785127034,2190,221.18831050228314,220.9450436068638,1.8588434319602865,2190,-1.328767123,-1.568734238,1.8429528319321529,160,10.607500000000002,10.452749243134008,1.3477734133053767,2175,-1.356597701,-1.568797808,1.843080428390256
381,381,ana_2212_25_15_3.root,2212,25,15,3,3,199,220.91584460141712,0.531350795,199,-1.621705323,0.5449494467746213,107,10.84563858348024,0.8147135165201952,199,-1.621705323,0.5449494467746213,2107,220.95866160417657,220.62265242672527,1.6621313366626023,2107,-1.559088752,-1.885836347,1.7083167542440774,162,10.724691358024693,10.931695179491161,0.7458602451477777,2100,-1.583873016,-1.885908744,1.7085391117438686
351,351,ana_2212_25_15_4.root,2212,25,15,3,4,197,220.98494406713576,0.6980752224072835,197,-1.539914698,0.6913683988014413,91,10.657711838549787,1.032522700787535,196,-1.539915526,0.6913695810207049,1857,221.05562735595046,220.81784499392208,1.9657084166340186,1857,-1.461245737,-1.694573335,2.0000224030747886,144,10.62361111111111,10.873313891851856,0.9529388886287352,1846,-1.517226436,-1.701343534,1.949486228925036
432,432,ana_2212_25_15_5.root,2212,25,15,3,5,196,220.9591673817775,0.49708660184754566,196,-1.56467897,0.4816037335780681,88,10.205047763450361,0.922383031,196,-1.56467897,0.4816037335780681,2059,221.06134045653232,220.8588081500581,1.7850940091351346,2059,-1.456791323,-1.674459488,1.653593430301169,139,10.179136690647482,10.240469197125927,1.0760554784293492,2050,-1.45996748,-1.674415166,1.6534939474120476
11,11,ana_2212_25_15_6.root,2212,25,15,3,6,197,221.0579809085881,0.5725988127139803,197,-1.461862744,0.5759397331163627,99,10.645101569082835,1.1333530121869082,197,-1.461862744,0.5759397329659747,2148,221.0816573556797,220.92194127702692,1.8505494268186184,2148,-1.436002483,-1.595050869,1.8319583458651225,171,10.761988304093569,10.68344307070558,1.3869823900962495,2143,-1.451081039,-1.59513384,1.8321433590562137
296,296,ana_2212_25_15_7.root,2212,25,15,3,7,199,221.01257829894865,0.6068684995713193,199,-1.492063108,0.5997994962442109,102,10.90828519952292,0.5790574997914951,199,-1.492063108,0.5997994962442109,2107,221.0576649264357,220.7876227105003,1.7461743640486778,2107,-1.461509255,-1.7075316,1.8628821489275598,182,10.943956043956044,11.049632100244601,0.554655573,2105,-1.4698654,-1.707755228,1.8634261235846399
499,499,ana_2212_25_20_0.root,2212,25,20,3.5,0,192,221.03311456856198,0.6991558101114895,192,-1.476732026,0.7100040095380903,55,10.589725041604552,0.7090189930300472,192,-1.476732027,0.7100040093524697,1665,221.17195195195194,220.94423492622963,2.122299754969493,1665,-1.343063063,-1.574188767,2.1192160115312757,87,10.814942528735633,10.613531389953469,1.1936408200186874,1661,-1.365161549,-1.581574022,2.073252409267997
413,413,ana_2212_25_20_1.root,2212,25,20,3.5,1,191,220.9677554,0.7401688163642665,191,-1.566737383,0.717346812,49,10.497267363482653,0.91329919,191,-1.566737383,0.7173468119439451,1664,221.0787259615385,220.79805535355095,1.8036263935110808,1664,-1.439903846,-1.70601925,1.9002374504281767,73,10.68904109589041,10.154547392498946,0.3997374188478769,1654,-1.456831923,-1.706307746,1.9008502882202372
194,194,ana_2212_25_20_2.root,2212,25,20,3.5,2,199,221.1540730871928,0.7864357941346989,199,-1.363229813,0.7908741459578977,55,10.961616746072584,0.749404069,199,-1.363229814,0.7908741452312158,1702,221.1603995299648,221.0434352090626,1.9697891699884873,1702,-1.359811986,-1.474771124,2.0004030691201393,91,10.915384615384616,10.847408407896454,1.0134544987632224,1700,-1.362117647,-1.475192342,2.001245618652398
552,552,ana_2212_25_20_3.root,2212,25,20,3.5,3,192,221.12651743543626,0.7158948449915373,192,-1.390361526,0.7083360433970384,48,10.687348498867628,0.6151632085938322,192,-1.390361525,0.7083360432037924,1670,221.17005988023956,220.88079089888717,1.8559739304048999,1670,-1.345948104,-1.6046955,2.031218092048334,85,10.944705882352944,10.61296058,0.6934948073518459,1661,-1.3709412,-1.605277846,2.029889980224495
78,78,ana_2212_25_20_4.root,2212,25,20,3.5,4,194,221.18040101433053,0.7166425141590407,194,-1.333123576,0.7233594287401027,54,10.575018552345433,0.9663727353976481,193,-1.333122603,0.7233591742871568,1634,221.11481028151772,220.91073686956491,1.7495319545290848,1634,-1.403019176,-1.596622478,1.8436776555002579,79,10.613924050632912,10.548772076986232,1.0966847829796103,1622,-1.392766132,-1.59654867,1.8434775132853405
498,498,ana_2212_25_20_5.root,2212,25,20,3.5,5,196,221.04813362856075,0.6778293966526225,196,-1.467708487,0.6749914974103369,57,10.341628030995713,0.8050715101434157,196,-1.467708488,0.674991497,1766,221.0611551528879,220.87655457216775,2.014285636429176,1766,-1.456549641,-1.6327512,2.0421623060238967,83,10.524096385542169,10.20827113009774,0.7405615601455025,1759,-1.429107447,-1.637770647,2.0037944437591677
501,501,ana_2212_25_20_6.root,2212,25,20,3.5,6,195,221.09914057663977,0.6596959900818319,195,-1.424796987,0.6571262359365162,61,10.594624104652059,0.7868563743716493,195,-1.424796987,0.6571262360128617,1636,221.199022,221.04081973097288,2.074673603337858,1636,-1.319070905,-1.479573694,2.0762496597829214,89,10.780898876404496,10.611441177467007,0.8157370385349821,1629,-1.332228361,-1.481029415,2.055037383
